1F922; 🤢 nauseated face
1F927; 🤧 sneezing face
1F608; 😈 smiling face with horns
1F47F; 👿 angry face with horns
1F479; 👹 ogre
1F47A; 👺 goblin
1F480; 💀 skull
2620; ☠ skull and crossbones
1F47B; 👻 ghost
1F47D; 👽 alien
1F47E; 👾 alien monster
1F916; 🤖 robot face
1F4A9; 💩 pile of poo
1F63A; 😺 smiling cat face with open mouth
1F638; 😸 grinning cat face with smiling eyes
1F639; 😹 cat face with tears of joy
1F63B; 😻 smiling cat face with heart-eyes
1F63C; 😼 cat face with wry smile
1F63D; 😽 kissing cat face with closed eyes
1F640; 🙀 weary cat face
1F63F; 😿 crying cat face
1F63E; 😾 pouting cat face
1F648; 🙈 see-no-evil monkey
1F649; 🙉 hear-no-evil monkey
1F64A; 🙊 speak-no-evil monkey
@1 enable skin tones
1F466; 👦 boy
1F466 $; 👦🏻 boy
1F467; 👧 girl
1F467 $; 👧🏻 girl
1F468; 👨 man
1F468 $; 👨🏻 man
1F469; 👩 woman
1F469 $; 👩🏻 woman
1F474; 👴 old man
1F474 $; 👴🏻 old man
1F475; 👵 old woman
1F475 $; 👵🏻 old woman
1F476; 👶 baby
1F476 $; 👶🏻 baby
1F47C; 👼 baby angel
1F47C $; 👼🏻 baby angel
1F468 200D 2695 FE0F; 👨‍⚕️ man health worker
1F468 $ 200D 2695 FE0F; 👨🏻‍⚕️ man health worker
1F469 200D 2695 FE0F; 👩‍⚕️ woman health worker
1F469 $ 200D 2695 FE0F; 👩🏻‍⚕️ woman health worker
1F468 200D 1F393; 👨‍🎓 man student
1F468 $ 200D 1F393; 👨🏻‍🎓 man student
1F469 200D 1F393; 👩‍🎓 woman student
1F469 $ 200D 1F393; 👩🏻‍🎓 woman student
1F468 200D 1F3EB; 👨‍🏫 man teacher
1F468 $ 200D 1F3EB; 👨🏻‍🏫 man teacher
1F469 200D 1F3EB; 👩‍🏫 woman teacher
1F469 $ 200D 1F3EB; 👩🏻‍🏫 woman teacher
1F468 200D 2696 FE0F; 👨‍⚖️ man judge
1F468 $ 200D 2696 FE0F; 👨🏻‍⚖️ man judge
1F469 200D 2696 FE0F; 👩‍⚖️ woman judge
1F469 $ 200D 2696 FE0F; 👩🏻‍⚖️ woman judge
1F468 200D 1F33E; 👨‍🌾 man farmer
1F468 $ 200D 1F33E; 👨🏻‍🌾 man farmer
1F469 200D 1F33E; 👩‍🌾 woman farmer
1F469 $ 200D 1F33E; 👩🏻‍🌾 woman farmer
1F468 200D 1F373; 👨‍🍳 man cook
1F468 $ 200D 1F373; 👨🏻‍🍳 man cook
1F469 200D 1F373; 👩‍🍳 woman cook
1F469 $ 200D 1F373; 👩🏻‍🍳 woman cook
1F468 200D 1F527; 👨‍🔧 man mechanic
1F468 $ 200D 1F527; 👨🏻‍🔧 man mechanic
1F469 200D 1F527; 👩‍🔧 woman mechanic
1F469 $ 200D 1F527; 👩🏻‍🔧 woman mechanic
1F468 200D 1F3ED; 👨‍🏭 man factory worker
1F468 $ 200D 1F3ED; 👨🏻‍🏭 man factory worker
1F469 200D 1F3ED; 👩‍🏭 woman factory worker
1F469 $ 200D 1F3ED; 👩🏻‍🏭 woman factory worker
1F468 200D 1F4BC; 👨‍💼 man office worker
1F468 $ 200D 1F4BC; 👨🏻‍💼 man office worker
1F469 200D 1F4BC; 👩‍💼 woman office worker
1F469 $ 200D 1F4BC; 👩🏻‍💼 woman office worker
1F468 200D 1F52C; 👨‍🔬 man scientist
1F468 $ 200D 1F52C; 👨🏻‍🔬 man scientist
1F469 200D 1F52C; 👩‍🔬 woman scientist
1F469 $ 200D 1F52C; 👩🏻‍🔬 woman scientist
1F468 200D 1F4BB; 👨‍💻 man technologist
1F468 $ 200D 1F4BB; 👨🏻‍💻 man technologist
1F469 200D 1F4BB; 👩‍💻 woman technologist
1F469 $ 200D 1F4BB; 👩🏻‍💻 woman technologist
1F468 200D 1F3A4; 👨‍🎤 man singer
1F468 $ 200D 1F3A4; 👨🏻‍🎤 man singer
1F469 200D 1F3A4; 👩‍🎤 woman singer
1F469 $ 200D 1F3A4; 👩🏻‍🎤 woman singer
1F468 200D 1F3A8; 👨‍🎨 man artist
1F468 $ 200D 1F3A8; 👨🏻‍🎨 man artist
1F469 200D 1F3A8; 👩‍🎨 woman artist
1F469 $ 200D 1F3A8; 👩🏻‍🎨 woman artist
1F468 200D 2708 FE0F; 👨‍✈️ man pilot
1F468 $ 200D 2708 FE0F; 👨🏻‍✈️ man pilot
1F469 200D 2708 FE0F; 👩‍✈️ woman pilot
1F469 $ 200D 2708 FE0F; 👩🏻‍✈️ woman pilot
1F468 200D 1F680; 👨‍🚀 man astronaut
1F468 $ 200D 1F680; 👨🏻‍🚀 man astronaut
1F469 200D 1F680; 👩‍🚀 woman astronaut
1F469 $ 200D 1F680; 👩🏻‍🚀 woman astronaut
1F468 200D 1F692; 👨‍🚒 man firefighter
1F468 $ 200D 1F692; 👨🏻‍🚒 man firefighter
1F469 200D 1F692; 👩‍🚒 woman firefighter
1F469 $ 200D 1F692; 👩🏻‍🚒 woman firefighter !! deleted non-gendered duplicates below
1F46E 200D 2642 FE0F; 👮‍♂️ man police officer
1F46E $ 200D 2642 FE0F; 👮🏻‍♂️ man police officer
1F46E 200D 2640 FE0F; 👮‍♀️ woman police officer
1F46E $ 200D 2640 FE0F; 👮🏻‍♀️ woman police officer
1F575 FE0F 200D 2642 FE0F; 🕵️‍♂️ man detective
1F575 $ 200D 2642 FE0F; 🕵🏻‍♂️ man detective
1F575 FE0F 200D 2640 FE0F; 🕵️‍♀️ woman detective
1F575 $ 200D 2640 FE0F; 🕵🏻‍♀️ woman detective
1F482 200D 2642 FE0F; 💂‍♂️ man guard
1F482 $ 200D 2642 FE0F; 💂🏻‍♂️ man guard
1F482 200D 2640 FE0F; 💂‍♀️ woman guard
1F482 $ 200D 2640 FE0F; 💂🏻‍♀️ woman guard
1F477 200D 2642 FE0F; 👷‍♂️ man construction worker
1F477 $ 200D 2642 FE0F; 👷🏻‍♂️ man construction worker
1F477 200D 2640 FE0F; 👷‍♀️ woman construction worker
1F477 $ 200D 2640 FE0F; 👷🏻‍♀️ woman construction worker
1F473 200D 2642 FE0F; 👳‍♂️ man wearing turban
